SUBJECT,SURVEY_DAY,ADM0_NAME,items,length
18,1,Romania,"['apa', 'ardei gras', 'arome', 'biscuiti cu crema', 'bors crud', 'branza telemea', 'branza vaci', 'cacao', 'carne de pasare', 'cartofi', 'castravete', 'ceapa', 'cola', 'condimente', 'copane de pui preparate', 'faina', 'fasole verde', 'fructe', 'lapte', 'mar', 'margarina', 'morcovi', 'mustar', 'ou (crud)', 'paine', 'paine alba', 'paste fainoase', 'patrunjel radacina', 'pesmet', 'praf de copt', 'rosie', 'sare', 'smantana', 'telina', 'ulei', 'unt', 'varza', 'verdeata', 'zahar']",39
19,1,Romania,"['apa', 'bomboane', 'cafea preparata', 'cas pane', 'cascaval', 'castravete murat', 'ceai', 'coaja de lamaie', 'faina', 'lapte', 'mar', 'margarina', 'ou (crud)', 'paine', 'sare', 'suc', 'ulei', 'unt', 'vanilie', 'zahar']",20
20,1,Romania,"['biscuiti', 'branza vaci', 'bulion de legume', 'cartofi', 'cas', 'ceai', 'ceapa verde', 'faina', 'friptura porc', 'gem', 'lapte', 'marar', 'orez', 'otet', 'ou (crud)', 'ou preparat', 'paine', 'pruna', 'salata verde', 'sare', 'smantana', 'ulei', 'unt', 'usturoi verde', 'varza', 'zahar']",26
21,1,Romania,"['apa', 'bors crud', 'carne', 'carne de pui', 'cartofi', 'cascaval', 'castravete', 'ceapa', 'coaja de lamaie', 'condimente', 'faina', 'lapte', 'mar', 'margarina', 'morcovi', 'orez', 'ou (crud)', 'paine', 'patrunjel radacina', 'pesmet', 'rosie', 'rosii in bulion', 'sare', 'sifon', 'smantana', 'supa de oase', 'ulei', 'unt', 'usturoi', 'vanilie', 'verdeata', 'zahar']",32
22,1,Romania,"['apa', 'bors crud', 'cacao', 'carne', 'carne de porc preparata', 'cartof natur', 'ceai', 'ceapa', 'ciocolata', 'corn', 'covrig', 'esenta de rom', 'faina', 'mar', 'morcovi', 'orez', 'ou (crud)', 'paine', 'patrunjel radacina', 'pufuleti', 'rosii in bulion', 'sare', 'smantana de frisca', 'strugure', 'suc', 'supa de oase', 'ulei', 'verdeata', 'zahar']",29
23,1,Romania,"['apa', 'biscuiti', 'carne de pui preparata', 'cartofi', 'ceai', 'ceapa', 'cereale', 'condimente', 'faina', 'fasole verde', 'lapte', 'mar', 'marar', 'morcovi', 'paine', 'pate', 'piper', 'sare', 'smantana', 'ulei', 'unt', 'zahar']",22
24,1,Romania,"['apa', 'banana', 'cartofi', 'ceapa', 'corn', 'faina', 'fructe', 'lapte', 'morcovi', 'ou (crud)', 'paine', 'sare', 'telina', 'ulei', 'unt', 'verdeata', 'zahar']",17
25,1,Romania,"['apa', 'ardei', 'bors crud', 'branza telemea', 'bulion de carne', 'carne de pasare', 'ceapa', 'dovlecel', 'fasole verde', 'gem', 'inghetata', 'lapte', 'mar', 'morcovi', 'orez', 'paine', 'patrunjel radacina', 'piper', 'rosie', 'sare', 'ulei', 'unt', 'verdeata']",23
26,1,Romania,"['apa', 'ardei', 'ardei gras', 'branza telemea', 'carne de vita tocata', 'ceapa', 'covrigei', 'faina', 'fructe', 'lapte', 'morcovi', 'orez', 'ou (crud)', 'paine', 'piper', 'rosie', 'sare', 'taitei', 'telina', 'ulei', 'unt', 'verdeata', 'zahar']",23
27,1,Romania,"['ardei gras', 'bulion de gaina', 'carne de pasare', 'ceapa', 'cereale', 'corn', 'fidea', 'lapte', 'morcovi', 'orez', 'sare', 'smantana', 'taitei', 'telina', 'ulei', 'verdeata', 'zahar']",17
28,1,Romania,"['apa', 'ardei', 'boia', 'bulion de rosii', 'capsuni', 'carne de pui', 'cascaval', 'ceai', 'ceapa', 'cirese', 'condimente', 'faina', 'gem', 'iaurt', 'lapte', 'orez fiert', 'ou (crud)', 'paine', 'patrunjel', 'rosie', 'sare', 'sunca', 'unt']",23
29,1,Romania,"['apa', 'cartof natur', 'ceai', 'ceapa', 'fasole verde', 'friptura', 'lapte', 'mazare verde', 'morcovi', 'orez', 'paine', 'pangasius preparat', 'pastrama', 'rosie', 'sare', 'sunca de pui', 'taitei', 'telina', 'ulei', 'unt', 'verdeata', 'zahar']",22
30,1,Romania,"['apa', 'arome', 'bautura pepsi', 'carnat preparat', 'cartofi', 'ceapa', 'faina', 'fructe', 'gem', 'lapte', 'marar', 'margarina', 'morcovi', 'ou (crud)', 'ou ochi', 'paine', 'praf de copt', 'rosie', 'sare', 'telina', 'ulei', 'unt', 'verdeata', 'zahar']",24
31,1,Romania,"['apa', 'ardei gras', 'bors crud', 'branza', 'carne de pasare', 'cartofi', 'cartofi pai', 'ceapa', 'copane de pui preparate', 'dulciuri', 'fasole boabe', 'fasole verde', 'floricele porumb', 'fructe', 'grisine', 'iaurt', 'mar', 'morcovi', 'paine', 'pasta de rosii', 'patrunjel radacina', 'piper', 'rosie', 'salam', 'sare', 'seminte de floarea soarelui prajite', 'smantana', 'sticksuri', 'suc', 'telina', 'ulei', 'varza', 'verdeata']",33
32,1,Romania,"['apa', 'branza', 'branza telemea', 'cartofi preparati', 'castravete', 'ceapa', 'cola', 'condimente', 'faina', 'margarina', 'morcovi', 'orez', 'ou (crud)', 'pastrama de porc', 'rosie', 'sare', 'smantana', 'telina', 'ulei', 'verdeata', 'zahar']",21
33,1,Romania,"['apa', 'bors crud', 'cartofi pai', 'ceapa', 'cereale', 'fasole verde', 'lapte', 'morcovi', 'para', 'pasta de rosii', 'peste prajit', 'rosie', 'sare', 'ulei']",14
34,1,Romania,"['ardei gras', 'branza', 'ceapa', 'ciocolata', 'dulceata', 'morcovi', 'paine', 'pasta de rosii', 'patrunjel', 'piper', 'rosie', 'sare', 'ulei', 'unt', 'usturoi', 'vinete']",16
35,1,Romania,"['apa', 'biscuiti', 'bors crud', 'cartofi pai', 'castravete', 'ceai', 'ceapa', 'chipsuri', 'fasole verde', 'gem', 'morcovi', 'paine', 'pasta de rosii', 'rosie', 'sare', 'suc', 'sunca', 'ulei', 'unt']",19
36,1,Romania,"['apa', 'ardei', 'bors crud', 'ceai', 'ceapa', 'cereale', 'dovlecel', 'faina', 'fasole verde', 'ficat preparat', 'fructe', 'gem', 'iaurt cu fructe', 'lapte', 'mar', 'morcovi', 'paine', 'patrunjel radacina', 'rosie', 'sare', 'scortisoara', 'smantana', 'spanac', 'unt', 'usturoi', 'verdeata', 'zahar']",27
37,1,Romania,"['apa', 'bors crud', 'branza telemea', 'bulion de carne', 'capuccino', 'carne', 'cascaval', 'ceapa', 'ciocolata cu alune', 'cola', 'condimente', 'costita', 'drojdie', 'faina', 'gem', 'lapte', 'mar', 'morcovi', 'orez', 'ou (crud)', 'paine', 'paste fainoase', 'patrunjel radacina', 'piper', 'rosii in bulion', 'sare', 'supa de oase', 'ulei', 'verdeata', 'zahar']",30
38,1,Romania,"['apa', 'biscuiti', 'branza vaci', 'carne de vitel', 'ceai', 'ceapa', 'faina', 'lapte', 'morcovi', 'orez', 'ou (crud)', 'paine', 'patrunjel radacina', 'pulpa de pui la gratar', 'sare', 'telina', 'unt', 'verdeata', 'zahar', 'zeama de lamaie']",20
39,1,Romania,"['apa', 'bulion de carne', 'carne de pasare', 'ceapa', 'lapte', 'morcovi', 'orez', 'paine', 'pate', 'piper', 'sare', 'ulei']",12
40,1,Romania,"['apa', 'ardei', 'biscuiti cu crema eugenia', 'bulion de carne', 'cartofi pai', 'cascaval ras', 'ceapa', 'conopida', 'cotlet de porc preparat', 'lapte batut', 'marar', 'morcovi', 'orez', 'otet', 'ou ochi', 'paine alba', 'piper', 'rosie', 'sare', 'smantana', 'ulei', 'varza']",22
41,1,Romania,"['apa', 'ardei', 'ardei gras', 'boia', 'bulion de gaina', 'bulion de rosii', 'carne de pasare', 'carne de pui', 'ceapa', 'coaja de lamaie', 'condimente', 'corn', 'drojdie', 'faina', 'galbenus crud', 'iaurt', 'inghetata', 'lapte', 'margarina', 'mici la gratar', 'morcovi', 'mustar', 'ou (crud)', 'paine', 'patrunjel', 'salam', 'sare', 'smantana', 'suc', 'taitei', 'telina', 'ulei', 'vanilie', 'verdeata', 'zahar']",35
42,1,Romania,"['apa', 'branza', 'cascaval', 'ceapa', 'cereale', 'ciocolata', 'condimente', 'drojdie', 'faina', 'lapte', 'ou (crud)', 'paine', 'pasta de rosii', 'salam', 'sare', 'ulei', 'vinete', 'zeama de lamaie']",18
43,1,Romania,"['apa', 'ardei gras', 'bors crud', 'branza', 'bulion de carne', 'carne de pasare', 'cartofi', 'ceapa', 'ciuperci', 'condimente', 'faina', 'fasole verde', 'mar', 'morcovi', 'orez', 'paine', 'pasta de rosii', 'patrunjel radacina', 'piper', 'rosie', 'sare', 'smantana', 'telina', 'ulei', 'varza', 'verdeata']",26
44,1,Romania,"['apa', 'ardei', 'branza telemea', 'ceapa', 'cereale', 'condimente', 'lapte', 'morcovi', 'paine', 'pasta de rosii', 'paste fainoase', 'piper', 'sare', 'smantana', 'ulei', 'varza', 'verdeata']",17
45,1,Romania,"['apa', 'ardei', 'cimbru', 'lapte', 'orez', 'paine', 'piper', 'rosie', 'sare', 'ulei', 'unt', 'varza', 'zahar']",13
46,1,Romania,"['apa', 'ardei', 'bors crud', 'ceapa', 'ciocolata calda', 'ciuperci', 'corn', 'fasole verde', 'margarina', 'morcovi', 'nuci (miez)', 'paine', 'pasta de rosii', 'patrunjel', 'piper', 'portocala', 'rosie', 'salam', 'sare', 'taitei', 'ulei', 'unt', 'zahar']",23
47,1,Romania,"['apa', 'carne de pui', 'carne de vitel', 'ceapa', 'ciocolata', 'dulceata', 'faina', 'iaurt cu fructe', 'lapte', 'mar', 'morcovi', 'orez', 'ou (crud)', 'pasta de rosii', 'patrunjel', 'patrunjel radacina', 'piper', 'sare', 'suc', 'sunca prajita', 'telina', 'ulei', 'verdeata', 'zahar', 'zeama de lamaie']",25
48,1,Romania,"['apa', 'ardei gras', 'bors crud', 'branza topita', 'carne', 'cartofi', 'ceai', 'ceapa', 'gris', 'lapte', 'marar', 'morcovi', 'otet', 'ou (crud)', 'paine', 'paine alba', 'patrunjel radacina', 'piper', 'rosie', 'sare', 'ulei', 'usturoi', 'varza', 'verdeata', 'zahar']",25
49,1,Romania,"['apa', 'ardei gras', 'bors crud', 'branza topita', 'bulion de carne', 'cacao', 'cacao cu lapte, nesquik', 'carne de pasare', 'cartofi', 'ceapa', 'faina', 'fasole verde', 'friptura de pui', 'fructe', 'gelatina', 'lapte', 'mar', 'morcovi', 'muschi preparat', 'orez', 'ou (crud)', 'paine', 'patrunjel radacina', 'piper', 'rosie', 'sare', 'smantana', 'telina', 'ulei', 'unt', 'varza', 'verdeata', 'zahar']",33
50,1,Romania,"['apa', 'ardei', 'banana', 'bors crud', 'branza', 'cartofi', 'ceapa', 'cirese', 'crenvursti', 'dovlecel', 'fasole verde', 'ficat de pui preparat', 'iaurt', 'lapte', 'mar', 'morcovi', 'paine', 'patrunjel radacina', 'rosie', 'sare', 'suc de portocale', 'sunca de pui', 'unt', 'verdeata']",24
51,1,Romania,"['banana', 'cartofi', 'cereale', 'covrig', 'ficat de pui preparat', 'lapte', 'mar', 'sare', 'unt']",9
52,1,Romania,"['apa', 'ardei gras', 'biscuiti cu crema eugenia', 'bulion de gaina', 'carne de pasare', 'carne de pui', 'cartof natur', 'cascaval', 'ceapa', 'cereale', 'faina', 'lapte', 'mar', 'morcovi', 'ou (crud)', 'pesmet', 'rosie', 'salata verde', 'sare', 'smantana', 'suc de fructe', 'taitei', 'telina', 'ulei', 'verdeata', 'zeama de lamaie']",26
53,1,Romania,"['apa', 'ardei gras', 'bors crud', 'carne de pasare preparata', 'carne de porc', 'cartofi', 'ceapa', 'corn', 'dulceata', 'faina', 'gem', 'lapte', 'margarina', 'morcovi', 'otet', 'paine', 'patrunjel', 'patrunjel radacina', 'rosie', 'sare', 'suc', 'unt', 'verdeata', 'zahar pudra']",24
54,1,Romania,"['apa', 'apa plata', 'ardei gras', 'banana', 'branza telemea', 'bulion de rosii', 'carne de porc', 'carne de vita', 'castravete', 'ceapa', 'ceapa verde', 'lapte', 'limonada', 'mar', 'orez', 'ou (crud)', 'paine', 'para', 'pate', 'piper', 'pufuleti', 'ridichi', 'rosie', 'salata verde', 'sare', 'scortisoara', 'ulei', 'varza murata', 'zahar']",29
55,1,Romania,"['apa', 'ardei gras', 'cartofi pai', 'ceai', 'ceapa', 'cereale', 'faina', 'lapte', 'morcovi', 'ou (crud)', 'paine', 'pate', 'sare', 'taitei', 'telina', 'ulei', 'unt', 'verdeata', 'zahar']",19
56,1,Romania,"['apa', 'bors crud', 'branza vaci', 'ceapa', 'costita afumata', 'faina', 'fasole boabe', 'ficat pasare preparat', 'morcovi', 'ou (crud)', 'paine', 'pastarnac', 'pate', 'patrunjel radacina', 'sare', 'telina', 'unt', 'verdeata', 'zahar']",19
57,1,Romania,"['apa', 'biscuiti', 'bomboana ciocolata', 'branza telemea', 'bulion de carne', 'carne de pasare', 'ceai', 'ceapa', 'condimente', 'lamaie', 'margarina', 'morcovi', 'orez', 'paine', 'paste fainoase', 'piper', 'sare', 'ulei', 'zahar']",19
58,1,Romania,"['apa', 'bautura fanta de portocale', 'cafea', 'carne de porc', 'cartofi', 'ceapa', 'lapte', 'morcovi', 'ou (crud)', 'paine', 'pasta de rosii', 'piper', 'salam', 'sare', 'smantana', 'telina', 'ulei', 'unt', 'varza', 'verdeata']",20
59,1,Romania,"['ardei gras', 'branza vaci', 'bulion de rosii', 'cartofi', 'ceapa', 'drojdie', 'faina', 'halva', 'lapte', 'malai', 'mamaliga', 'morcovi', 'ou (crud)', 'paine', 'pepene verde', 'piper', 'rosie', 'sare', 'telina', 'ulei', 'unt', 'verdeata', 'zahar', 'zahar pudra']",24
60,1,Romania,"['apa', 'ardei', 'branza telemea', 'carne de vita tocata', 'ceapa', 'cereale', 'condimente', 'faina', 'inghetata', 'lapte', 'mar', 'orez', 'paste fainoase', 'piper', 'rosie', 'sare', 'ulei', 'verdeata', 'zahar']",19
61,1,Romania,"['carne de porc', 'cartofi pai', 'faina', 'mar', 'ou (crud)', 'paine', 'pesmet', 'pulpa de pui preparata', 'suc de portocale', 'ulei']",10
62,1,Romania,"['apa', 'bulion de rosii', 'cafea preparata', 'carne de porc', 'carne de vita', 'ceapa', 'dulceata', 'lapte', 'mar', 'napolitana', 'orez', 'paine', 'piper', 'sare', 'taitei', 'ulei', 'unt', 'varza murata', 'zahar']",19
63,1,Romania,"['carne de porc', 'cartofi', 'gris', 'lapte', 'rosie', 'sare', 'strugure', 'ulei', 'unt', 'zahar']",10
64,1,Romania,"['apa', 'ardei gras', 'bors crud', 'carne de pasare', 'cartofi', 'ceapa', 'cereale', 'cimbru', 'compot', 'cous-cous', 'dovlecel pane', 'fasole verde', 'lapte', 'morcovi', 'paine', 'pate', 'patrunjel radacina', 'piper', 'rosie', 'sare', 'telina', 'ulei', 'varza', 'verdeata']",24
65,1,Romania,"['apa', 'branza topita', 'cartofi', 'ceai', 'ceapa', 'cereale', 'ciocolata (baton)', 'corn', 'lapte', 'malai', 'morcovi', 'paine', 'sare', 'suc de portocale', 'telina', 'ulei', 'verdeata']",17
66,1,Romania,"['apa', 'branza', 'branza telemea', 'condimente', 'margarina', 'ou ochi', 'paine', 'paste fainoase', 'pesmet', 'salam uscat', 'sare', 'ulei']",12
67,1,Romania,"['alune', 'apa', 'ardei verde', 'bors crud', 'branza', 'cartofi pai', 'ceai', 'ceapa', 'fasole verde', 'floricele porumb', 'friptura de pui', 'gem', 'morcovi', 'paine', 'pasta de rosii', 'rosie', 'sare', 'suc', 'sunca', 'ulei', 'unt']",21
68,1,Romania,"['cacao', 'cartofi', 'ceapa', 'corn', 'inghetata', 'lapte', 'morcovi', 'paine', 'pasta de rosii', 'patrunjel', 'piper', 'sare', 'suc', 'ulei', 'zahar']",15
69,1,Romania,"['apa', 'ardei gras', 'banana', 'bors crud', 'cabanos', 'carne de porc', 'cartofi', 'cartofi preparati', 'ceai', 'ceapa', 'faina', 'marar', 'mazare verde', 'mici la gratar', 'morcovi', 'paine', 'pasta de rosii', 'patrunjel radacina', 'rosie', 'suc neacidulat', 'ulei', 'verdeata']",22
70,1,Romania,"['apa', 'banana', 'bors crud', 'carne', 'carne de pui', 'cas de vaca', 'ceai', 'ceapa', 'cereale', 'ciocolata', 'condimente', 'faina', 'iaurt actimel', 'lapte', 'marar', 'mazare verde', 'morcovi', 'orez', 'ou (crud)', 'paine', 'pasta de rosii', 'patrunjel radacina', 'rosii in bulion', 'sare', 'supa de oase', 'ulei', 'verdeata']",27
71,1,Romania,"['apa', 'ardei gras', 'biscuiti', 'bors crud', 'carne de pasare', 'carne de pui', 'cartofi', 'ceapa', 'cereale', 'condimente', 'faina', 'fasole verde', 'iaurt cu fructe', 'lapte', 'marar', 'mazare verde', 'morcovi', 'paine', 'pasta de rosii', 'pate', 'patrunjel radacina', 'pepene', 'rosie', 'sare', 'smantana', 'telina', 'ulei', 'varza', 'verdeata']",29
72,1,Romania,"['apa', 'apa plata', 'branza telemea', 'carne de vitel', 'ceapa', 'condimente', 'faina', 'gem de capsuni', 'lapte', 'malai', 'mar', 'margarina', 'morcovi', 'orez', 'ou (crud)', 'ou ochi', 'paine', 'patrunjel radacina', 'sare', 'smantana', 'telina', 'ulei', 'verdeata', 'zahar', 'zeama de lamaie']",25
73,1,Romania,"['apa', 'ardei gras', 'bors crud', 'carne de pasare', 'carne de pui', 'cartofi', 'ceapa', 'ciocolata', 'condimente', 'drojdie', 'faina', 'fasole verde', 'fructe', 'iaurt', 'lapte', 'mamaliga', 'mar', 'morcovi', 'ou (crud)', 'ou fiert', 'patrunjel radacina', 'peste la cuptor', 'rosie', 'sare', 'smantana', 'telina', 'ulei', 'unt', 'usturoi', 'varza', 'verdeata', 'zahar', 'zahar pudra']",33
74,1,Romania,"['apa', 'biscuiti', 'carne de iepure preparata', 'carne de pui', 'cartofi preparati', 'ceapa', 'condimente', 'faina', 'iaurt', 'morcovi', 'napolitana', 'ou (crud)', 'paine', 'pesmet', 'sare', 'smantana', 'ulei', 'unt']",18
75,1,Romania,"['apa', 'bors crud', 'branza topita', 'carne', 'carne de pasare preparata', 'cartofi', 'cartofi pai', 'ceapa', 'condimente', 'faina', 'lapte', 'mar', 'morcovi', 'orez', 'ou (crud)', 'paine', 'patrunjel radacina', 'rosii in bulion', 'sare', 'supa de oase', 'ulei', 'unt', 'verdeata', 'zahar']",24
76,1,Romania,"['ardei gras', 'bulion de gaina', 'carne de pasare', 'ceapa', 'mar', 'morcovi', 'ou preparat', 'rosie', 'sare', 'smantana', 'taitei', 'telina', 'ulei', 'verdeata']",14
77,1,Romania,"['apa', 'ardei', 'bors crud', 'branza telemea', 'carne de pui', 'cereale', 'condimente', 'dovlecel', 'iaurt cu fructe', 'lapte', 'morcovi', 'paste fainoase', 'patrunjel radacina', 'rosie', 'sare', 'ulei', 'verdeata']",17
78,1,Romania,"['apa', 'cabanos', 'carne de porc', 'ceai de plante', 'ceapa', 'faina', 'gem', 'mar', 'marar', 'mazare verde', 'morcovi', 'otet', 'paine', 'pasta de rosii', 'peste prajit', 'portocala', 'sare', 'suc de fructe', 'ulei', 'usturoi']",20
79,1,Romania,"['apa', 'bors crud', 'cacao', 'ceapa', 'faina', 'fasole verde', 'gem', 'lapte', 'morcovi', 'otet', 'ou preparat', 'paine', 'pasta de rosii', 'pate', 'pepene verde', 'rosie', 'sare', 'smantana', 'ulei', 'unt', 'zahar', 'zahar pudra']",22
80,1,Romania,"['apa', 'apa plata', 'ardei', 'bors crud', 'cafea preparata', 'cartofi', 'castravete', 'ceapa', 'ceapa rosie', 'dovlecel', 'fasole verde', 'margarina', 'masline', 'morcovi', 'mustar', 'otet', 'ou (crud)', 'paine', 'patrunjel radacina', 'piper', 'pruna uscata', 'rosie', 'sare', 'ulei', 'verdeata']",25
81,1,Romania,"['apa', 'biscuiti', 'biscuiti cu crema eugenia', 'bulion de carne', 'cartofi', 'ceapa', 'cereale', 'gris', 'lapte', 'lapte batut', 'mar', 'morcovi', 'orez', 'piper', 'pulpa de pui preparata', 'sare', 'telina', 'ulei', 'verdeata', 'zahar']",20
82,1,Romania,"['apa', 'ardei gras', 'bors crud', 'cartofi', 'ceai', 'ceapa', 'cereale', 'condimente', 'faina', 'fasole verde', 'lapte', 'morcovi', 'ou (crud)', 'paine', 'pasta de rosii', 'patrunjel', 'patrunjel radacina', 'rosie', 'sare', 'telina', 'ulei', 'unt', 'varza', 'verdeata', 'zahar']",25
83,1,Romania,"['branza', 'cartofi pai', 'castravete', 'mar', 'ou preparat', 'rosie']",6
84,1,Romania,"['apa', 'ardei gras', 'bors crud', 'branza', 'cartofi', 'ceapa', 'corn', 'fasole verde', 'gem', 'lapte', 'mar', 'morcovi', 'paine', 'patrunjel radacina', 'pulpa de pui preparata', 'rosie', 'sare', 'sunca', 'sunca presata', 'telina', 'ulei', 'unt', 'varza', 'verdeata']",24
85,1,Romania,"['apa', 'carne de pasare', 'ceapa', 'morcovi', 'orez', 'paine', 'ulei', 'unt']",8
86,1,Romania,"['apa', 'arome', 'branza vaci', 'capsuni', 'carne de porc', 'cartofi', 'cascaval', 'ceai', 'ciocolata', 'faina', 'gris', 'gutuie', 'inghetata', 'lamaie', 'lapte', 'mar', 'margarina', 'ou (crud)', 'paine', 'para', 'pesmet', 'sare', 'smantana', 'ulei', 'unt', 'visine', 'zahar']",27
87,1,Romania,"['cartofi', 'cas', 'ceai de fructe', 'covrig', 'ficat de pui preparat', 'ice tea', 'lapte', 'paine', 'rosie', 'sare', 'ulei', 'unt']",12
88,1,Romania,"['branza vaci', 'cartofi preparati', 'dulceata visine', 'faina', 'frigarui', 'lapte', 'napolitana cu cacao', 'ou (crud)', 'paine', 'pepene', 'unt', 'zahar']",12
89,1,Romania,"['ardei gras', 'banana', 'biscuiti', 'bulion de gaina', 'cacao', 'carne de pasare', 'cas', 'castravete', 'ceapa', 'lapte', 'morcovi', 'ou (crud)', 'paine', 'pastrama', 'rosie', 'sare', 'smantana', 'taitei', 'telina', 'ulei', 'unt', 'verdeata', 'zahar']",23
90,1,Romania,"['apa', 'branza', 'bulion de carne', 'carne de porc', 'cartof natur', 'ceai', 'ceapa', 'compot de mere si pere', 'crenvursti', 'mamaliga', 'mar', 'orez', 'ou (crud)', 'paine', 'piper', 'salam', 'sare', 'smantana', 'ulei']",19
91,1,Romania,"['bors crud', 'branza vaci', 'cabanos', 'carne', 'cartofi', 'ceapa', 'iaurt', 'lapte', 'morcovi', 'orez', 'ou (crud)', 'paine', 'paine alba', 'patrunjel radacina', 'pesmet', 'rosii in bulion', 'sare', 'smantana', 'supa de oase', 'unt', 'verdeata']",21
