COUNTRY,SUBJECT,SURVEY_DAY,items,length
LAO,LAO_1005,1,"{'monosodium glutamate', 'chilli bird', 'soup, fish broth', 'shallot bulbs, grilled', 'fermented fish, liquid part (fermented for 3 -12 months)', 'rice noodles fresh small size', 'tap water', 'cake cream filled / jamroll (euro brand)', 'toffee candy', 'gunthers walking catfish, boiled', 'soup, pork broth', 'pork blood, boiled', 'shallot spring', 'rice glutinous, polished, steamed', 'cabbage', 'chinese garlic, dried bulbs, burnted', 'refined salt', 'pork ball, blanch', 'cuttlefish soaked in alkaline blanched (for yentafo)', 'thai water morning glory white stem'}",20
LAO,LAO_1006,1,"{'human milk, 6 month lactation', 'monosodium glutamate', 'garlic, dried bulbs', 'milk whole uht, chocolate flavoured', 'nile tilapia, boiled', 'rice glutinous, polished, steamed', 'soup, fish broth', 'roselle / red sorrel leaves', 'tap water', 'longkong', 'refined salt', 'hen egg whole, boiled'}",12
LAO,LAO_1007,1,"{'monosodium glutamate', 'sugar, white', 'garlic, deep fried', 'garlic, dried bulbs', 'num pia (thai)', 'yard long bean green', 'mint leaves', 'lemon juice 100%', 'fermented fish, liquid part (fermented for 3 -12 months)', 'soup, beef spare ribs broth', 'rice noodles fresh small size', 'tap water', 'roasted uncooked rice', 'tomato ketchup', 'cucumber large', 'shallot spring', 'rice glutinous, polished, steamed', 'tomato cherry small', 'cabbage', 'beef meat lean', 'chilli bird ground', 'refined salt', 'seasoning sauce, grade 1', 'cuttlefish soaked in alkaline blanched (for yentafo)', 'pork ball, blanch', 'windbetal leaves', 'shallot bulbs, deep fried'}",27
LAO,LAO_1008,1,"{'monosodium glutamate', 'snack from flour (corn, wheat, potato)', 'chilli bird', 'onion', 'duck roasted', 'soup, fish broth', 'fermented fish, liquid part (fermented for 3 -12 months)', 'rice noodle sheet vietnamese style, raw, wet form (guay-jub)', 'tap water', 'cake cream filled / jamroll (euro brand)', 'soup, pork broth', 'soup instant, pork / chicken broth, cube, dry (knor brand)', 'shallot spring', 'lemon grass', 'rice glutinous, polished, steamed', 'tamarind ripe', 'tomato cherry small', 'galangal tuber', 'soymilk, original classic  (lactasoy brand)', 'refined salt', 'pork tenderloin, boiled (fat 2.2%)', 'nile tilapia, boiled'}",22
LAO,LAO_1009,1,"{'monosodium glutamate', 'pork tenderloin (fat 3.2%)', 'sugar, white', 'chilli bird', 'common carp / pla nai (thai)', 'gourd sponge round', 'garlic, dried bulbs', 'papaya, unripe', 'hairy basil leaves', 'soup, fish broth', 'gourd bitter wild', 'lemon juice 100%', 'fermented fish, liquid part (fermented for 3 -12 months)', 'bamboo shoot thrysostachys siamensis, boiled', 'tap water', 'crisp eggplant', 'rice glutinous, polished, steamed', 'lemon grass', 'tomato cherry small', 'refined salt', 'coriander', 'nile tilapia, boiled', 'fennel common leaves / culantro', 'kalanchoe', 'banana (horm variety)'}",25
LAO,LAO_101,1,"{'milk whole uht, chocolate flavoured', 'pork roasted (meat)', 'rice glutinous, polished, steamed', 'sardines, canned in tomato sauce', 'tap water', 'hen egg whole, boiled'}",6
LAO,LAO_1010,1,"{'human milk, 6 month lactation'}",1
LAO,LAO_1011,1,"{'milk powdered, lactogen gold 1', 'tap water'}",2
LAO,LAO_1012,1,"{'monosodium glutamate', 'seasoning (ros-dee brand)', 'pak ka yheng (thai)', 'cornpuff salted, baked', 'rice glutinous, polished, steamed', 'fermented fish, liquid part (fermented for 3 -12 months)', 'tiliacora triandra diels, squeezed, boiled / nam-bai-ya-nang (thai)', 'common silver barb', 'bamboo shoot wild', 'orange flavored water (sugar 13%)', 'chayote tops and young leaves', 'tap water', 'common climbing perch', 'refined salt'}",14
LAO,LAO_1013,1,"{'monosodium glutamate', 'striped snakehead fish, boiled', 'sugar, white', 'chilli bird', 'garlic, deep fried', 'fish sauce, grade 1', 'gourd sponge round', 'garlic, dried bulbs', 'shallot bulbs', 'chicken, drumstick', 'soybean sauce, grade 1', 'shallot bulbs, grilled', 'fermented fish, liquid part (fermented for 3 -12 months)', 'soup, beef spare ribs broth', 'rice noodles fresh small size', 'rice noodle sheet vietnamese style, raw, wet form (guay-jub)', 'pepper, white', 'tap water', 'soup, pork broth', 'tomato ketchup', 'shallot spring', 'lemon grass', 'rice glutinous, polished, steamed', 'chicken, wing', 'chinese garlic, dried bulbs, burnted', 'refined salt', 'beef meat lean, boiled', 'seasoning sauce, grade 1', 'pork belly (fat 33.5%)', 'fennel common leaves / culantro', 'shallot bulbs, deep fried'}",31
LAO,LAO_1014,1,"{'seasoning sauce, grade 1', 'rambutan', 'snack from flour (corn, wheat, potato)', 'rice glutinous, polished, steamed', 'milk whole uht, natural', 'potatochip fried original', 'apple', 'duck egg whole, boiled', 'tap water', 'common climbing perch', 'refined salt'}",11
LAO,LAO_1015,1,"{'human milk, 6 month lactation', 'banana (nam-wa variety), ripe', 'pork, sundried, grilled', 'rice glutinous, polished, steamed', 'tap water'}",5
LAO,LAO_1015,2,"{'human milk, 6 month lactation', 'corn puff, sweetened, baked', 'banana (nam-wa variety), ripe', 'rice glutinous, steamed, chewed', 'beef, sun-dried, raw', 'tap water', 'refined salt'}",7
LAO,LAO_1016,1,"{'soup, pork broth', 'pork loin, boiled (fat 7.9%)', 'monosodium glutamate', 'pork sausage, fried (fat 20.8%)', 'snack from flour (corn, wheat, potato)', 'sugar, white', 'rice glutinous, polished, steamed', 'pork, roasted (fat 14.6%)', 'wafer', 'rice noodle sheet vietnamese style, raw, wet form (guay-jub)', 'tap water', 'refined salt'}",12
LAO,LAO_1017,1,"{'cerelac (mixed vegetable)', 'tap water', 'milk powdered, enfalac'}",3
LAO,LAO_1018,1,"{'monosodium glutamate', 'pork tenderloin (fat 3.2%)', 'striped snakehead fish, roasted', 'striped snakehead fish, boiled', 'sugar, white', 'oyster sauce', 'soybean oil', 'chilli bird', 'chayote tops and young leaves', 'garlic, dried bulbs', 'yard long bean green', 'soup, fish broth', 'lemon juice 100%', 'fermented fish, liquid part (fermented for 3 -12 months)', 'tap water', 'gunthers walking catfish, boiled', 'soup, pork broth', 'rice glutinous, polished, steamed', 'tomato cherry small', 'refined salt'}",20
LAO,LAO_1019,1,"{'monosodium glutamate', 'lentinus squarrosulus', 'rice glutinous, polished, steamed', 'cake sponge commercially prepared', 'oyster sauce', 'nile tilapia salt coat , grilled', 'tap water', 'toffee candy', 'common climbing perch', 'refined salt'}",10
LAO,LAO_102,1,"{'monosodium glutamate', 'rice vermicelli, instant with seasoning', 'lettuce', 'nile tilapia, boiled', 'rice glutinous, polished, steamed', 'chilli bird', 'fermented fish, liquid part (fermented for 3 -12 months)', 'cabbage chinese', 'tap water', 'refined salt'}",10
LAO,LAO_1020,1,"{'monosodium glutamate', 'tamarind young leaves', 'seasoning (ros-dee brand)', 'fish based snack with seasoning', 'cricket, blanched', 'rice glutinous, polished, steamed', 'striped snakehead fish, boiled', 'soybean oil', 'soup, fish broth', 'kalanchoe', 'apple', 'soymilk, original classic  (lactasoy brand)', 'tap water', 'nile tilapia salt coat , grilled', 'locust  fried (legs and inner organs removed)', 'refined salt'}",16
LAO,LAO_1021,1,"{'monosodium glutamate', 'soup, pork broth', 'tap water', 'banana (nam-wa variety), ripe', 'pork tenderloin, boiled (fat 2.2%)', 'deep fired banana / kluai-khaek (thai)', 'rice glutinous, polished, steamed', 'oyster sauce', 'soybean oil', 'gourd bitter chinese', 'cabbage chinese, white', 'refined salt', 'pork belly, boiled (fat 38.2%)'}",13
LAO,LAO_1022,1,"{'ivygourd', 'rice glutinous, polished, steamed', 'soup, fish broth', 'bamboo shoot, boiled', 'tap water', 'striped snakehead fish, dried', 'refined salt'}",7
LAO,LAO_1023,1,"{'human milk, 3 month lactation'}",1
LAO,LAO_1024,1,"{'cucumber', 'monosodium glutamate', 'pork tenderloin (fat 3.2%)', 'sugar, white', 'chilli bird', 'soybean oil', 'fish sauce, grade 1', 'garlic, dried bulbs', 'papaya, unripe', 'beef meat sundried, fried', 'soybean sauce, grade 1', 'lemon juice 100%', 'fermented fish, liquid part (fermented for 3 -12 months)', 'shrimp tiny paste, fermented', 'tap water', 'shallot spring', 'rice glutinous, polished, steamed', 'cake sponge commercially prepared', 'cabbage chinese', 'apple', 'soymilk, original classic  (lactasoy brand)', 'rice polished, steamed', 'seasoning sauce, grade 1', 'coriander', 'pork loin (fat 7.7%)'}",25
LAO,LAO_1025,1,"{'monosodium glutamate', 'soup, pork broth', 'pork tenderloin, boiled (fat 2.2%)', 'pork, sundried, grilled', 'rice porridge medium viscosity', 'rice glutinous, polished, steamed', 'milk powdered, lactogen gold 2', 'tap water', 'refined salt'}",9
LAO,LAO_1026,1,"{'monosodium glutamate', 'chilli bird', 'bamboo shoot, boiled', 'gourd sponge round', 'soup, fish broth', 'fermented fish, liquid part (fermented for 3 -12 months)', 'tiliacora triandra diels, squeezed, boiled / nam-bai-ya-nang (thai)', 'rice glutinous soaked', 'tap water', 'gunthers walking catfish, boiled', 'ginger root, mature, burnted', 'pak ka yheng (thai)', 'lemon grass', 'rice glutinous, polished, steamed', 'pork liver', 'tamarind ripe', 'apple', 'galangale, burnted', 'chinese garlic, dried bulbs, burnted', 'fermented fish with bone (fermented for 3 -12 months) (water = 60.5)', 'refined salt', 'soymilk, plus (vitamilk brand)', 'kalanchoe', 'nile tilapia'}",24
LAO,LAO_1027,1,"{'coffee 3 in 1 instant coffee mix (nescafee brand)', 'monosodium glutamate', 'cucumber large', 'ginger root, mature, burnted', 'rice glutinous, polished, steamed', 'short bodied mackerel, steamed', 'chilli bird', 'tomato cherry small', 'sugar, white', 'lemon juice 100%', 'gunthers walking catfish, roasted', 'fermented fish, liquid part (fermented for 3 -12 months)', 'omlet hen egg', 'galangale, burnted', 'chinese garlic, dried bulbs, burnted', 'chayote tops and young leaves', 'tap water', 'fermented fish with bone (fermented for 3 -12 months) (water = 60.5)'}",18
LAO,LAO_1028,1,"{'monosodium glutamate', 'soup, pork broth', 'pork ball, blanch', 'pork roasted (meat)', 'shallot spring', 'pork, sundried, grilled', 'rice glutinous, polished, steamed', 'jellies', 'sugar, white', 'milk whole uht, natural', 'omlet hen egg', 'wafer', 'rice noodles fresh small size', 'chayote fruit', 'tap water', 'toffee candy', 'refined salt'}",17
LAO,LAO_1029,1,"{'monosodium glutamate', 'gourd sponge angled', 'pak ka yheng (thai)', 'shallot spring', 'snack from flour (corn, wheat, potato)', 'rice glutinous, polished, steamed', 'bamboo shoot, boiled', 'fermented fish, liquid part (fermented for 3 -12 months)', 'gunthers walking catfish, boiled', 'tiliacora triandra diels, squeezed, boiled / nam-bai-ya-nang (thai)', 'chilli bird', 'orange flavored water (sugar 13%)', 'soymilk, original classic  (lactasoy brand)', 'rice glutinous soaked', 'tap water', 'toffee candy', 'refined salt', 'hen egg whole, boiled'}",18
LAO,LAO_103,1,"{'monosodium glutamate', 'rice polished, steamed', 'chilli bird', 'cabbage', 'cabbage chinese', 'tap water', 'refined salt'}",7
LAO,LAO_1030,1,"{'mango (kaew variety), unripe', 'monosodium glutamate', 'milk whole uht, chocolate flavoured', 'sugar, white', 'soybean oil', 'oyster sauce', 'wafer', 'sugar syrup heavy', 'rice noodles fresh small size', 'tap water', 'cake cream filled / jamroll (euro brand)', 'soup, pork broth', 'tomato ketchup', 'pork blood, boiled', 'rice glutinous, polished, steamed', 'milk condensed sweetened', 'refined salt', 'rice polished, steamed', 'seasoning sauce, grade 1', 'pork ball, blanch', 'omlet hen egg'}",21
LAO,LAO_1031,1,"{'seasoning sauce, grade 1', 'snack from flour (corn, wheat, potato)', 'rice glutinous, polished, steamed', 'wafer', 'tap water', 'common climbing perch', 'refined salt'}",7
LAO,LAO_1032,1,"{'monosodium glutamate', 'ginger root, mature', 'mango (nam-dok-mai variety), ripe', 'chilli bird', 'soybean oil', 'buffalo meat', 'longan', 'shallot bulbs, grilled', 'orange flavored water (sugar 13%)', 'tap water', 'nile tilapia salt coat , grilled', 'cassava young leaves', 'soup, pork broth', 'shallot spring', 'ginger root, mature, burnted', 'lemon grass', 'rice glutinous, polished, steamed', 'soybean, fermented, fresh / tooa-nao (thai), fresh', 'cabbage chinese', 'chinese garlic, dried bulbs, burnted', 'rice noodles fermented / ka-nom-jeen (thai)', 'refined salt', 'gandaria marian plum / ma-prang (thai)', 'pork tenderloin, boiled (fat 2.2%)', 'seasoning sauce, grade 1', 'garlic leaves and stem', 'fresh water algae', 'sesame seeds, white, roasted', 'hen egg whole, boiled'}",29
LAO,LAO_1033,1,"{'monosodium glutamate', 'soup, pork broth', 'pork tenderloin, boiled (fat 2.2%)', 'hairy basil leaves', 'rambutan', 'catfish truncated estuarine', 'cricket, blanched', 'rice glutinous, polished, steamed', 'sour cucumber (karen name :thi-chaing-za)', 'lemon grass', 'cabbage chinese', 'cabbage chinese, white', 'rice glutinous soaked', 'tap water', 'gourd sponge round', 'common climbing perch', 'refined salt', 'gourd sponge  young leaves (tips)'}",18
LAO,LAO_1034,1,"{'monosodium glutamate', 'soup, pork broth', 'pork tenderloin (fat 3.2%)', 'fish based snack with seasoning', 'coriander', 'rice glutinous, polished, steamed', 'oyster sauce', 'pork, roasted (fat 14.6%)', 'soybean oil', 'bamboo shoot, boiled', 'apple', 'tap water', 'mushroom indian oyster', 'refined salt'}",14
LAO,LAO_1035,1,"{'human milk, 6 month lactation', 'monosodium glutamate', 'rice glutinous, polished, steamed', 'beef, sun-dried, raw', 'tap water', 'nile tilapia', 'refined salt'}",7
LAO,LAO_1036,1,"{'monosodium glutamate', 'pork loin, boiled (fat 7.9%)', 'soup, pork broth', 'seasoning sauce, grade 1', 'pork tenderloin (fat 3.2%)', 'banana blossoms', 'nile tilapia, boiled', 'crisp eggplant', 'soup, fish broth', 'rice glutinous, polished, steamed', 'chilli bird', 'fermented fish, liquid part (fermented for 3 -12 months)', 'tamarind ripe', 'cracker, pineapple paste filled', 'rice glutinous soaked', 'tap water', 'chilli bird ground', 'refined salt'}",18
LAO,LAO_1037,1,"{'coriander', 'rice glutinous, polished, steamed', 'frog meat', 'tap water', 'refined salt'}",5
LAO,LAO_1038,1,"{'monosodium glutamate', 'mustard green, boiled', 'galangale', 'beef meat lean, grilled', 'small freshwater fish', 'hairy basil leaves', 'shallot bulbs', 'mulberry, fruit', 'pork feet (fat 10.2%)', 'tap water', 'leech lime leaves', 'tamarind sweet', 'lemon grass', 'rice glutinous, polished, steamed', 'dill / pak-chee-lao (thai)', 'chinese garlic, dried bulbs, burnted', 'chilli bird ground', 'refined salt', 'pork tenderloin, boiled (fat 2.2%)', 'banana (nam-wa variety), ripe', 'garlic leaves and stem', 'pork loin (fat 7.7%)'}",22
LAO,LAO_1039,1,"{'soup, pork broth', 'monosodium glutamate', 'banana (nam-wa variety), ripe', 'pepsi', 'sugar syrup heavy', 'rice glutinous, polished, steamed', 'sugar, white', 'chilli bird', 'kalanchoe', 'rice noodles fresh small size', 'taro bulb', 'apple', 'tap water', 'nile tilapia salt coat , grilled', 'toffee candy', 'refined salt'}",16
LAO,LAO_104,1,"{'human milk, 6 month lactation', 'tap water', 'rice glutinous, polished, steamed', 'refined salt'}",4
LAO,LAO_1040,1,"{'human milk, 6 month lactation', 'peanut dipped in rice flour, deep fried', 'rice glutinous, polished, steamed', 'tap water', 'cake cream filled / jamroll (euro brand)', 'common climbing perch', 'refined salt'}",7
LAO,LAO_1041,1,"{'human milk, 6 month lactation', 'monosodium glutamate', 'ivygourd', 'rice glutinous, polished, steamed', 'hen egg, whole', 'tap water', 'pork, shreded, chinese style', 'cake cream filled / jamroll (euro brand)', 'tangelo / tangerine / mandarin', 'refined salt'}",10
LAO,LAO_1042,1,"{'monosodium glutamate', 'soup, pork broth', 'pork tenderloin (fat 3.2%)', 'refined salt', 'water fern', 'coriander', 'rice glutinous, polished, steamed', 'sour cucumber (karen name :thi-chaing-za)', 'kalanchoe', 'tap water', 'garlic, dried bulbs', 'ginger young'}",12
LAO,LAO_1043,1,"{'pumpkin young leaves', 'monosodium glutamate', 'cucumber large', 'shallot spring', 'nile tilapia, boiled', 'coriander', 'soup, fish broth', 'mango (nam-dok-mai variety), ripe', 'rice glutinous, polished, steamed', 'cake sponge commercially prepared', 'tomato cherry small', 'tap water', 'mushroom indian oyster', 'nile tilapia', 'refined salt'}",15
LAO,LAO_1044,1,"{'monosodium glutamate', 'gourd sponge angled', 'shallot bulbs', 'star fruit / carambola', 'rice glutinous, polished, steamed', 'sugar, white', 'chilli bird', 'soybean oil', 'common carp / pla nai (thai)', 'bamboo shoot thrysostachys siamensis, boiled', 'fermented fish, liquid part (fermented for 3 -12 months)', 'shrimp cracker from wheat flour', 'tap water', 'rice noodles fermented / ka-nom-jeen (thai)', 'common climbing perch', 'refined salt', 'hen egg whole, boiled'}",17
LAO,LAO_1045,1,"{'chilli bird small, dried', 'monosodium glutamate', 'gunthers walking catfish', 'rice glutinous, polished, steamed', 'cake sponge commercially prepared', 'tap water', 'refined salt'}",7
LAO,LAO_1046,1,"{'wheat noodles, instant with seasoning', 'snack from flour (corn, wheat, potato)', 'fish based snack with seasoning', 'rice glutinous, polished, steamed', 'omlet hen egg', 'orange flavored water (sugar 13%)', 'apple', 'ice cream coconut milk', 'tap water', 'toffee candy'}",10
LAO,LAO_1047,1,"{'monosodium glutamate', 'hairy basil leaves', 'shallot spring', 'cowpea pods', 'lemon grass', 'rice glutinous, polished, steamed', 'amaranth spineless', 'frog meat', 'mustard green, boiled', 'coriander', 'soup, beef spare ribs broth', 'buffalo meat', 'cabbage', 'dill / pak-chee-lao (thai)', 'tap water', 'chilli bird ground', 'refined salt'}",17
LAO,LAO_1048,1,"{'monosodium glutamate', 'buffalo meat', 'gourd sponge round', 'gourd sponge  young leaves (tips)', 'fermented fish, liquid part (fermented for 3 -12 months)', 'bamboo shoot thrysostachys siamensis, boiled', 'soup, beef spare ribs broth', 'rice glutinous soaked', 'tap water', 'rambutan', 'pork roasted (meat)', 'lemon grass', 'rice glutinous, polished, steamed', 'apple', 'soymilk, original classic  (lactasoy brand)', 'refined salt', 'beef meat lean, boiled', 'frog meat', 'soup, chicken broth', 'shrimp cracker from wheat flour', 'coconut juice'}",21
LAO,LAO_1049,1,"{'pumpkin young leaves', 'monosodium glutamate', 'hairy basil leaves', 'ginger young', 'lesser spiny eel / spiny eels', 'lemon grass', 'soup, fish broth', 'rice glutinous, polished, steamed', 'chilli bird', 'soybean oil', 'kalanchoe', 'frog small green with bone', 'tap water', 'sesame seeds, white, roasted', 'refined salt', 'gourd sponge  young leaves (tips)'}",16
LAO,LAO_105,1,"{'coffee 3 in 1 instant coffee mix (nescafee brand)', 'monosodium glutamate', 'shallot spring', 'rice glutinous, polished, steamed', 'soup, fish broth', 'chilli bird', 'pork, roasted (fat 14.6%)', 'fermented fish, liquid part (fermented for 3 -12 months)', 'cabbage chinese', 'gunthers walking catfish, boiled', 'tap water', 'refined salt'}",12
LAO,LAO_1050,1,"{'monosodium glutamate', 'pork loin, boiled (fat 7.9%)', 'hairy basil leaves', 'soup, pork broth', 'pepsi', 'shallot spring', 'nile tilapia, boiled', 'snack from flour (corn, wheat, potato)', 'rice glutinous, polished, steamed', 'lemon grass', 'soup, fish broth', 'chilli bird', 'kalanchoe', 'cabbage chinese', 'apple', 'tap water', 'toffee candy', 'refined salt'}",18
LAO,LAO_1051,1,"{'tap water', 'nile tilapia salt coat , grilled', 'rice glutinous, polished, steamed', 'human milk, 6 month lactation'}",4
LAO,LAO_1052,1,"{'monosodium glutamate', 'pork tenderloin (fat 3.2%)', 'snack from flour (corn, wheat, potato)', 'chilli bird', 'bamboo shoot hairy', 'soup, fish broth', 'fermented fish, liquid part (fermented for 3 -12 months)', 'tiliacora triandra diels, squeezed, boiled / nam-bai-ya-nang (thai)', 'rice glutinous soaked', 'tap water', 'acacia pennata / cha-om (thai)', 'toffee candy', 'roasted uncooked rice', 'rambutan', 'shallot spring', 'rice glutinous, polished, steamed', 'common climbing perch', 'refined salt', 'coriander', 'fennel common leaves / culantro'}",20
LAO,LAO_1052,2,"{'monosodium glutamate', 'soup, pork broth', 'pork tenderloin, boiled (fat 2.2%)', 'candies milk chocolate', 'rice glutinous, polished, steamed', 'soup, fish broth', 'fermented fish, liquid part (fermented for 3 -12 months)', 'orange flavored water (sugar 13%)', 'rice noodle sheet vietnamese style, raw, wet form (guay-jub)', 'tap water', 'toffee candy', 'common climbing perch', 'refined salt'}",13
LAO,LAO_1053,1,"{'monosodium glutamate', 'pork tenderloin (fat 3.2%)', 'milk powdered, bear brand (honey)', 'seasoning sauce, grade 1', 'rice glutinous, polished, steamed', 'tap water', 'pork, shreded, chinese style', 'refined salt'}",8
LAO,LAO_1054,1,"{'monosodium glutamate', 'mushroom straw', 'lettuce', 'sugar, white', 'fish sauce, grade 1', 'chilli bird small, dried', 'seasoning (ros-dee brand)', 'mint leaves', 'lemon juice 100%', 'rice noodles fresh small size', 'tap water', 'lattan plam, young leaves', 'rice glutinous, polished, steamed', 'water melon', 'chilli bird ground', 'common climbing perch', 'refined salt', 'rice polished, steamed', 'banana (nam-wa variety), ripe', 'coriander', 'kalanchoe', 'soup, chicken broth', 'native chicken drumstick'}",23
LAO,LAO_1055,1,"{'rice polished, steamed', 'seasoning sauce, grade 1', 'striped snakehead fish, boiled', 'soup, fish broth', 'tomato cherry small', 'gourd bottle', 'tap water', 'refined salt'}",8
LAO,LAO_1056,1,"{'soup, pork broth', 'human milk, 6 month lactation', 'pork loin, boiled (fat 7.9%)', 'pork liver', 'rice glutinous, polished, steamed', 'pork, roasted (fat 14.6%)', 'tap water', 'amaranth spineless', 'refined salt'}",9
LAO,LAO_1057,1,"{'monosodium glutamate', 'sugar, white', 'soybean oil', 'chilli bird', 'garlic, dried bulbs', 'tamarind young pod', 'seasoning (ros-dee brand)', 'lemon juice 100%', 'fermented fish, liquid part (fermented for 3 -12 months)', 'tap water', 'grapes, green', 'ginger young', 'pork heart', 'shallot spring', 'rice glutinous, polished, steamed', 'galangal tuber', 'refined salt', 'frog meat', 'pork tongue'}",19
LAO,LAO_1058,1,"{'monosodium glutamate', 'rice glutinous, polished, steamed', 'gunthers walking catfish, roasted', 'cabbage chinese', 'tap water', 'cake cream filled / jamroll (euro brand)', 'refined salt', 'hen egg whole, boiled'}",8
LAO,LAO_1059,1,"{'roasted uncooked rice', 'monosodium glutamate', 'chicken, meat', 'shallot spring', 'coriander', 'crisp eggplant', 'rice glutinous, polished, steamed', 'dill / pak-chee-lao (thai)', 'chilli bird', 'bamboo shoot, boiled', 'tap water', 'acacia pennata / cha-om (thai)', 'garlic, dried bulbs', 'refined salt'}",14
